Airlines,Flight Date,COVID Phase,Departure delay (Minutes),Delay Carrier (Minutes)_Dep,Delay Weather (Minutes)_Dep,Delay National Aviation System (Minutes)_Dep,Delay Security (Minutes)_Dep,Delay Late Aircraft Arrival (Minutes)_Dep,Total Flights_Dep,Cancelled Flights,Cancellation Rate (%),Arrival Delay (Minutes),Delay Carrier (Minutes)_Arr,Delay Weather (Minutes)_Arr,Delay National Aviation System (Minutes)_Arr,Delay Security (Minutes)_Arr,Delay Late Aircraft Arrival (Minutes)_Arr,Total Flights_Arr
Alaska Airlines,2018-05-03,Pre-COVID,-6.5,0,0,0,0,0,2,0.0,0.0,-5.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-04,Pre-COVID,-3.5,0,0,0,0,0,2,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-05,Pre-COVID,-9.0,0,0,0,0,0,2,0.0,0.0,-19.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-06,Pre-COVID,1.5,0,0,0,0,0,2,0.0,0.0,10.5,0.0,0.0,17.0,0.0,0.0,2.0
Alaska Airlines,2018-05-07,Pre-COVID,-5.0,0,0,0,0,0,2,0.0,0.0,-23.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-08,Pre-COVID,9.5,0,0,0,0,0,2,0.0,0.0,5.5,1.0,0.0,0.0,0.0,30.0,2.0
Alaska Airlines,2018-05-09,Pre-COVID,13.5,0,0,0,20,0,2,0.0,0.0,10.5,0.0,0.0,0.0,0.0,36.0,2.0
Alaska Airlines,2018-05-10,Pre-COVID,-6.0,0,0,0,0,0,2,0.0,0.0,-18.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-11,Pre-COVID,-13.5,0,0,0,0,0,2,0.0,0.0,-23.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-12,Pre-COVID,106.5,63,0,0,0,104,2,0.0,0.0,70.0,112.0,0.0,28.0,0.0,0.0,2.0
Alaska Airlines,2018-05-13,Pre-COVID,9.0,0,0,0,0,0,2,0.0,0.0,12.0,0.0,0.0,36.0,0.0,0.0,2.0
Alaska Airlines,2018-05-14,Pre-COVID,-3.0,0,0,0,0,0,2,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-15,Pre-COVID,41.5,51,0,0,0,0,2,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-16,Pre-COVID,-4.5,0,0,0,0,0,2,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-17,Pre-COVID,-1.0,0,0,0,0,0,2,0.0,0.0,-7.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-18,Pre-COVID,111.5,0,0,211,0,0,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-19,Pre-COVID,92.5,0,0,191,0,0,2,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-20,Pre-COVID,34.5,0,0,67,0,0,2,0.0,0.0,28.5,0.0,0.0,59.0,0.0,0.0,2.0
Alaska Airlines,2018-05-21,Pre-COVID,-1.0,0,0,0,0,0,2,0.0,0.0,1.5,0.0,0.0,5.0,0.0,15.0,2.0
Alaska Airlines,2018-05-22,Pre-COVID,37.0,0,0,60,0,0,2,0.0,0.0,34.5,0.0,0.0,59.0,0.0,0.0,2.0
Alaska Airlines,2018-05-23,Pre-COVID,25.5,0,0,49,0,0,2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-24,Pre-COVID,35.5,0,0,57,0,0,2,0.0,0.0,6.5,0.0,0.0,19.0,0.0,0.0,2.0
Alaska Airlines,2018-05-25,Pre-COVID,49.0,0,0,62,0,0,2,0.0,0.0,-1.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-26,Pre-COVID,-1.0,0,0,0,0,0,2,0.0,0.0,-13.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-27,Pre-COVID,-1.5,0,0,0,0,0,2,0.0,0.0,-8.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-28,Pre-COVID,-0.5,0,0,0,0,0,2,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-29,Pre-COVID,-6.0,0,0,0,0,0,2,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-05-30,Pre-COVID,15.0,21,0,0,0,0,2,0.0,0.0,20.5,24.0,0.0,31.0,0.0,0.0,2.0
Alaska Airlines,2018-05-31,Pre-COVID,47.0,23,0,86,0,0,2,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-06-01,Pre-COVID,-3.5,0,0,0,0,0,2,0.0,0.0,-10.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-06-02,Pre-COVID,70.5,103,0,0,0,0,2,0.0,0.0,61.5,137.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-06-03,Pre-COVID,-8.0,0,0,0,0,0,2,0.0,0.0,-9.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-06-04,Pre-COVID,19.0,0,0,0,0,27,2,0.0,0.0,27.5,0.0,0.0,71.0,0.0,0.0,2.0
Alaska Airlines,2018-06-05,Pre-COVID,0.5,0,0,0,0,0,2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-06-06,Pre-COVID,26.5,0,0,47,0,0,2,0.0,0.0,-5.5,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-06-07,Pre-COVID,-5.0,0,0,0,0,0,2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0
Alaska Airlines,2018-06-08,Pre-COVID,1.5,0,0,0,0,0,2,0.0,0.0,-7.0,0.0,0.0,0.0,0.0,0.0,2.0
